source,text
ga:last_7_days,"GA Summary (last 7 days): activeUsers=52, eventCount=296, newUsers=40."
ga:top_countries_7d,Top country #1: India with 18 active users (last 7 days).
ga:top_countries_7d,Top country #2: United States with 9 active users (last 7 days).
ga:top_countries_7d,Top country #3: Sweden with 5 active users (last 7 days).
ga:top_countries_7d,Top country #4: (not set) with 3 active users (last 7 days).
ga:top_countries_7d,Top country #5: Singapore with 3 active users (last 7 days).
ga:top_countries_7d,Top country #6: Germany with 2 active users (last 7 days).
ga:top_countries_7d,Top country #7: United Kingdom with 2 active users (last 7 days).
ga:top_countries_7d,Top country #8: Armenia with 1 active users (last 7 days).
ga:top_countries_7d,Top country #9: China with 1 active users (last 7 days).
ga:top_countries_7d,Top country #10: Egypt with 1 active users (last 7 days).
ga:top_pages_7d,Top page #1: / with 30 active users (last 7 days).
ga:top_pages_7d,Top page #2: /blogs/are-we-hitting-rock-bottom-with-rage-bait-marketing with 10 active users (last 7 days).
ga:top_pages_7d,Top page #3: /blogs/top-10-saas-marketing-agencies-in-2025 with 4 active users (last 7 days).
ga:top_pages_7d,Top page #4: /case-study/even-health with 2 active users (last 7 days).
ga:top_pages_7d,Top page #5: /blogs with 1 active users (last 7 days).
ga:top_pages_7d,Top page #6: /blogs/5-viral-marketing-campaigns-that-broke-the-internet-lessons-and-digital-marketing-tips with 1 active users (last 7 days).
ga:top_pages_7d,Top page #7: /blogs/on-page-vs-off-page-seo-whats-more-important-for-ranking with 1 active users (last 7 days).
ga:top_pages_7d,Top page #8: /blogs/red-flags-to-avoid-when-selecting-digital-marketing-services with 1 active users (last 7 days).
ga:top_pages_7d,Top page #9: /blogs/rescript-elevates-brand-awareness-through-digital-marketing-campaign-with-upload-digital with 1 active users (last 7 days).
ga:top_pages_7d,Top page #10: /blogs/what-is-an-ai-marketing-agency-a-beginners-guide-for-b2b-brands with 1 active users (last 7 days).
ga:yesterday,"GA Yesterday: activeUsers=10, eventCount=76."
